index,mean,sd,n,r_senseaware,p,r_v12_fixed,r_docx_v6
PH_ratio_A1,0.2432,0.1714,2470,-0.1199,2.285e-09,-0.109,-0.132
PH_ratio_A2,0.2235,0.1552,2470,0.0253,0.209,0.007,
PH_ratio_B1,0.2810,0.1631,2470,0.0410,0.04138,0.047,
PH_ratio_B2,0.1730,0.1493,2470,0.0379,0.05963,0.042,0.042
PH_ratio_C1,0.0360,0.0691,2470,0.0469,0.01971,0.046,0.046
PH_ratio_C2,0.0432,0.0772,2470,0.0133,0.5088,0.009,
PH_ratio_A,0.4668,0.1881,2470,-0.0884,1.093e-05,-0.096,-0.090
PH_ratio_B,0.4540,0.1839,2470,0.0672,0.0008371,0.077,0.066
PH_ratio_C,0.0792,0.1039,2470,0.0411,0.04123,0.038,
PH_ratio_AboveB1,0.5332,0.1881,2470,0.0884,1.093e-05,0.096,0.090
PH_ratio_AboveB2,0.2522,0.1698,2470,0.0585,0.003658,0.060,0.060
PH_mean_score,2.6646,0.5278,2470,0.0993,7.672e-07,0.097,0.100
PH_high_low_ratio,1.5549,1.4814,2426,0.0785,0.0001095,0.081,0.078
PH_score_var,1.5111,0.8051,2470,0.0042,0.8329,0.007,
PH_pv_ratio,0.0986,0.1037,2470,0.0662,0.0009931,0.070,0.074
PH_multi_ratio,0.1386,0.1352,2470,-0.0130,0.519,-0.020,-0.073
