index,mean,sd,n,r_senseaware,p,r_v12_fixed,r_docx_v6
PH_ratio_A1,0.2484,0.1269,1236,-0.1590,1.896e-08,-0.109,-0.132
PH_ratio_A2,0.2286,0.1075,1236,0.0404,0.1559,0.007,
PH_ratio_B1,0.2794,0.1117,1236,0.0386,0.1752,0.047,
PH_ratio_B2,0.1641,0.1012,1236,0.0741,0.009133,0.042,0.042
PH_ratio_C1,0.0372,0.0481,1236,0.0779,0.00617,0.046,0.046
PH_ratio_C2,0.0423,0.0520,1236,0.0053,0.8535,0.009,
PH_ratio_A,0.4770,0.1392,1236,-0.1137,6.164e-05,-0.096,-0.090
PH_ratio_B,0.4435,0.1343,1236,0.0880,0.001964,0.077,0.066
PH_ratio_C,0.0795,0.0709,1236,0.0567,0.04631,0.038,
PH_ratio_AboveB1,0.5230,0.1392,1236,0.1137,6.164e-05,0.096,0.090
PH_ratio_AboveB2,0.2437,0.1188,1236,0.0970,0.000638,0.060,0.060
PH_mean_score,2.6401,0.3851,1236,0.1345,2.067e-06,0.097,0.100
PH_high_low_ratio,1.3496,1.0473,1236,0.0858,0.002551,0.081,0.078
PH_score_var,1.6381,0.5874,1236,-0.0110,0.6983,0.007,
PH_pv_ratio,0.1005,0.0719,1236,0.1012,0.0003639,0.070,0.074
PH_multi_ratio,0.1349,0.0918,1236,-0.0198,0.4873,-0.020,-0.073
